                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.47242,                0.29526,                0.88105,                0.99087,                      1,                  0.995,                0.74998,                0.94842,                0.35537,                 1.1224,              0.0003764,              0.0003764,              0.0003764
                     84,                0.48143,                0.30269,                0.88708,                0.99892,                      1,                  0.995,                0.75522,                0.95976,                0.35616,                  1.135,              0.0003566,              0.0003566,              0.0003566
                     85,                0.45948,                0.28969,                0.86161,                 0.9988,                      1,                  0.995,                0.75228,                0.94222,                0.35976,                 1.1416,              0.0003368,              0.0003368,              0.0003368
                     86,                 0.4752,                0.28758,                0.88313,                0.99944,                      1,                  0.995,                0.75425,                0.95004,                0.34394,                 1.1296,               0.000317,               0.000317,               0.000317
                     87,                0.43105,                0.27208,                0.86846,                0.99951,                      1,                  0.995,                  0.752,                0.95346,                0.34486,                 1.1375,              0.0002972,              0.0002972,              0.0002972
                     88,                0.45174,                0.29115,                0.87245,                0.99952,                      1,                  0.995,                0.75643,                0.95535,                0.34085,                 1.1303,              0.0002774,              0.0002774,              0.0002774
                     89,                0.43372,                0.27252,                0.85915,                0.99944,                      1,                  0.995,                0.76077,                0.93247,                0.33723,                 1.1237,              0.0002576,              0.0002576,              0.0002576
                     90,                0.43364,                0.28022,                0.87024,                0.99948,                      1,                  0.995,                0.75759,                0.94403,                0.34714,                   1.14,              0.0002378,              0.0002378,              0.0002378
                     91,                0.37571,                0.23597,                0.83807,                0.99948,                      1,                  0.995,                0.74772,                0.97936,                0.33829,                 1.1581,               0.000218,               0.000218,               0.000218
                     92,                0.37857,                0.23074,                  0.841,                0.99948,                      1,                  0.995,                0.74848,                0.93842,                0.35228,                  1.136,              0.0001982,              0.0001982,              0.0001982
                     93,                0.35371,                0.22336,                0.83407,                0.99949,                      1,                  0.995,                0.74805,                0.97455,                0.34533,                 1.1436,              0.0001784,              0.0001784,              0.0001784
                     94,                 0.3483,                0.21908,                0.82846,                0.99913,                      1,                  0.995,                 0.7514,                0.95848,                0.34609,                  1.144,              0.0001586,              0.0001586,              0.0001586
                     95,                0.33269,                0.21327,                0.82964,                0.99942,                      1,                  0.995,                0.75546,                 0.9546,                0.34401,                 1.1411,              0.0001388,              0.0001388,              0.0001388
                     96,                0.32369,                0.21037,                0.82358,                0.99947,                      1,                  0.995,                0.76118,                0.93976,                 0.3361,                 1.1398,               0.000119,               0.000119,               0.000119
                     97,                0.31495,                0.20751,                0.82385,                0.99952,                      1,                  0.995,                0.76522,                0.93141,                0.33336,                 1.1339,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.31097,                0.20087,                0.82415,                0.99953,                      1,                  0.995,                0.76238,                0.94013,                 0.3352,                 1.1373,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.30857,                0.20264,                0.82479,                0.99954,                      1,                  0.995,                0.76446,                0.93567,                0.33145,                 1.1341,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.30642,                 0.1991,                0.82001,                0.99954,                      1,                  0.995,                0.76315,                0.93937,                0.33709,                 1.1381,               3.98e-05,               3.98e-05,               3.98e-05
